La diosa del asfalto _cast_member,imdb_page
 Carlos Gándara ,https://www.imdb.com//name/nm11318290/?ref_=ttfc_fc_cr111
 David Hernández Ramos ,https://www.imdb.com//name/nm7090533/?ref_=ttfc_fc_cr112
 Ekaterine Martínez Bourguet ,https://www.imdb.com//name/nm11997245/?ref_=ttfc_fc_cr113
 Norma Puerto De Dios ,https://www.imdb.com//name/nm11997243/?ref_=ttfc_fc_cr114
 Erika Ramírez Sánchez ,https://www.imdb.com//name/nm11997254/?ref_=ttfc_fc_cr115
 Armando Rangel ,https://www.imdb.com//name/nm7914595/?ref_=ttfc_fc_cr116
 Arturo Rodriguez ,https://www.imdb.com//name/nm2412075/?ref_=ttfc_fc_cr117
 L.E. Ros ,https://www.imdb.com//name/nm11997257/?ref_=ttfc_fc_cr118
 Samuel Sheinberg ,https://www.imdb.com//name/nm11997259/?ref_=ttfc_fc_cr119
 Juan Luis Sosa Alva ,https://www.imdb.com//name/nm11997244/?ref_=ttfc_fc_cr120
 Osvaldo Vidal ,https://www.imdb.com//name/nm11997258/?ref_=ttfc_fc_cr122
Script and Continuity Department 
 Renato Gómez ,https://www.imdb.com//name/nm5697287/?ref_=ttfc_fc_cr123
Transportation Department 
 José Cruz ,https://www.imdb.com//name/nm0190362/?ref_=ttfc_fc_cr124
 Juan Espinosa ,https://www.imdb.com//name/nm10561170/?ref_=ttfc_fc_cr125
 José Giovanni ,https://www.imdb.com//name/nm11997119/?ref_=ttfc_fc_cr126
 Martín González ,https://www.imdb.com//name/nm11997114/?ref_=ttfc_fc_cr127
 Cruz Martín ,https://www.imdb.com//name/nm11997120/?ref_=ttfc_fc_cr128
 Alfredo Martínez ,https://www.imdb.com//name/nm11997113/?ref_=ttfc_fc_cr129
 Felipe Martínez ,https://www.imdb.com//name/nm3306670/?ref_=ttfc_fc_cr130
 Rodolfo Martínez ,https://www.imdb.com//name/nm11997116/?ref_=ttfc_fc_cr131
 Angélica Miranda ,https://www.imdb.com//name/nm11993817/?ref_=ttfc_fc_cr132
 Miguel Miranda ,https://www.imdb.com//name/nm4525237/?ref_=ttfc_fc_cr133
 Jesús Pérez ,https://www.imdb.com//name/nm11997112/?ref_=ttfc_fc_cr134
 Luis Sana Ana ,https://www.imdb.com//name/nm11997118/?ref_=ttfc_fc_cr135
 Enrique Sánchez ,https://www.imdb.com//name/nm11997117/?ref_=ttfc_fc_cr136
 Alberto Zamudio ,https://www.imdb.com//name/nm11997115/?ref_=ttfc_fc_cr137
 Oscar Zermeño ,https://www.imdb.com//name/nm2664846/?ref_=ttfc_fc_cr138
Additional Crew 
 Antonio Aguilar ,https://www.imdb.com//name/nm1791374/?ref_=ttfc_fc_cr139
 Guillermo Campos ,https://www.imdb.com//name/nm11993685/?ref_=ttfc_fc_cr140
 Raúl González Riquelme ,https://www.imdb.com//name/nm9770754/?ref_=ttfc_fc_cr141
 Renato Gómez Martínez ,https://www.imdb.com//name/nm11993534/?ref_=ttfc_fc_cr142
 José Miguel Lino ,https://www.imdb.com//name/nm7876056/?ref_=ttfc_fc_cr143
 Miguel Miranda ,https://www.imdb.com//name/nm4525237/?ref_=ttfc_fc_cr144
 Gabriel Negrete ,https://www.imdb.com//name/nm2585007/?ref_=ttfc_fc_cr145
 Érick Olivares ,https://www.imdb.com//name/nm11997121/?ref_=ttfc_fc_cr146
 Rocío Ortega ,https://www.imdb.com//name/nm9275378/?ref_=ttfc_fc_cr147
 Chucho E. Quintero ,https://www.imdb.com//name/nm4021675/?ref_=ttfc_fc_cr148
 Diego Ramora ,https://www.imdb.com//name/nm11996789/?ref_=ttfc_fc_cr149
 Adrián Dario Rosales ,https://www.imdb.com//name/nm9009561/?ref_=ttfc_fc_cr150
 Emilio Rosique ,https://www.imdb.com//name/nm11338595/?ref_=ttfc_fc_cr151
 Gabriela Álvarez ,https://www.imdb.com//name/nm9773509/?ref_=ttfc_fc_cr152
Thanks 
 Circe Arreola ,https://www.imdb.com//name/nm11961154/?ref_=ttfc_fc_cr153
 Isaac Basulto ,https://www.imdb.com//name/nm2540333/?ref_=ttfc_fc_cr154
 Gabriela Cartol ,https://www.imdb.com//name/nm5578607/?ref_=ttfc_fc_cr155
 Armando Casas ,https://www.imdb.com//name/nm0990924/?ref_=ttfc_fc_cr156
 Angelina Cue. ,https://www.imdb.com//name/nm2231651/?ref_=ttfc_fc_cr157
 Vico Escorcia ,https://www.imdb.com//name/nm5455787/?ref_=ttfc_fc_cr158
 Fonca ,https://www.imdb.com//name/nm5464941/?ref_=ttfc_fc_cr159
 Raúl Fuentes ,https://www.imdb.com//name/nm2159013/?ref_=ttfc_fc_cr160
 Ariel Gordon ,https://www.imdb.com//name/nm0329999/?ref_=ttfc_fc_cr161
 Jonathan Hernández ,https://www.imdb.com//name/nm2961951/?ref_=ttfc_fc_cr162
 Eli Jaume ,https://www.imdb.com//name/nm7457317/?ref_=ttfc_fc_cr163
 Chela Lora ,https://www.imdb.com//name/nm1540160/?ref_=ttfc_fc_cr164
 Elisa Lozano ,https://www.imdb.com//name/nm0523565/?ref_=ttfc_fc_cr165
 Jorge Magaña ,https://www.imdb.com//name/nm2867560/?ref_=ttfc_fc_cr166
 Kenya Marquez ,https://www.imdb.com//name/nm0617318/?ref_=ttfc_fc_cr167
 Juan José Medina ,https://www.imdb.com//name/nm11169878/?ref_=ttfc_fc_cr168
 Nicolasa Ortíz Monasterio ,https://www.imdb.com//name/nm8393672/?ref_=ttfc_fc_cr169
 Axel Muñoz ,https://www.imdb.com//name/nm3644979/?ref_=ttfc_fc_cr170
 Adrián Dario Rosales ,https://www.imdb.com//name/nm9009561/?ref_=ttfc_fc_cr171
 Patricia Yáñez ,https://www.imdb.com//name/nm1461651/?ref_=ttfc_fc_cr172
 Giovanna Zacarías ,https://www.imdb.com//name/nm1015884/?ref_=ttfc_fc_cr173
