Eddie Reynolds y los Ángeles de Acero _cast_member,imdb_page
 Abel Martinez ,https://www.imdb.com//name/nm1733884/?ref_=ttfc_fc_cr86
 Eniac Martínez Ulloa ,https://www.imdb.com//name/nm1398572/?ref_=ttfc_fc_cr87
 Miguel Ángel Mesa ,https://www.imdb.com//name/nm5567919/?ref_=ttfc_fc_cr88
 Ely Morales ,https://www.imdb.com//name/nm4263667/?ref_=ttfc_fc_cr89
 Cristian Muñoz ,https://www.imdb.com//name/nm6774573/?ref_=ttfc_fc_cr90
 Alejandro Pita ,https://www.imdb.com//name/nm6154489/?ref_=ttfc_fc_cr91
 Carlos Rodríguez ,https://www.imdb.com//name/nm6154490/?ref_=ttfc_fc_cr92
 Héctor Sebastián Ruiz Sánchez ,https://www.imdb.com//name/nm6774574/?ref_=ttfc_fc_cr93
 Moisés Salazar ,https://www.imdb.com//name/nm0757737/?ref_=ttfc_fc_cr94
 Marcos Salgado ,https://www.imdb.com//name/nm6774579/?ref_=ttfc_fc_cr95
 Luis David Sansans ,https://www.imdb.com//name/nm0763030/?ref_=ttfc_fc_cr96
 Janek Schwirten ,https://www.imdb.com//name/nm2610515/?ref_=ttfc_fc_cr97
 Daniel Sotelo ,https://www.imdb.com//name/nm6774580/?ref_=ttfc_fc_cr98
 Gerardo Sánchez ,https://www.imdb.com//name/nm6154483/?ref_=ttfc_fc_cr99
 José Velázquez ,https://www.imdb.com//name/nm0892812/?ref_=ttfc_fc_cr100
 Eduardo Vertty ,https://www.imdb.com//name/nm1751682/?ref_=ttfc_fc_cr101
 César Augusto Villatoro ,https://www.imdb.com//name/nm5230346/?ref_=ttfc_fc_cr102
 Yuri Yerye ,https://www.imdb.com//name/nm6774726/?ref_=ttfc_fc_cr103
Animation Department 
 Olivia Bada ,https://www.imdb.com//name/nm6774553/?ref_=ttfc_fc_cr104
 Sofía Inés Cázares ,https://www.imdb.com//name/nm6774551/?ref_=ttfc_fc_cr105
 Renata Galindo ,https://www.imdb.com//name/nm6774547/?ref_=ttfc_fc_cr106
 Heber Iván García Rodríguez ,https://www.imdb.com//name/nm6774552/?ref_=ttfc_fc_cr107
 Adrián Gutiérrez ,https://www.imdb.com//name/nm6774550/?ref_=ttfc_fc_cr108
 Maribel Martinez Galindo ,https://www.imdb.com//name/nm3517816/?ref_=ttfc_fc_cr109
 Cecilia Rodríguez ,https://www.imdb.com//name/nm6774548/?ref_=ttfc_fc_cr110
 Félix Tapia ,https://www.imdb.com//name/nm6774549/?ref_=ttfc_fc_cr111
 Analeine Cal y Mayor ,https://www.imdb.com//name/nm2892750/?ref_=ttfc_fc_cr112
 Jorge Guerrero ,https://www.imdb.com//name/nm0346203/?ref_=ttfc_fc_cr113
 Sonia Guerrero ,https://www.imdb.com//name/nm0346261/?ref_=ttfc_fc_cr114
Costume and Wardrobe Department 
 Elsa Chavero ,https://www.imdb.com//name/nm4265386/?ref_=ttfc_fc_cr115
 María de Jesús Luna ,https://www.imdb.com//name/nm0208964/?ref_=ttfc_fc_cr116
 Rafael Ravello ,https://www.imdb.com//name/nm1238683/?ref_=ttfc_fc_cr117
Editorial Department 
 Chemistry ,https://www.imdb.com//name/nm10810066/?ref_=ttfc_fc_cr118
 Jesús Domínguez ,https://www.imdb.com//name/nm6774713/?ref_=ttfc_fc_cr119
 José Manuel Fentanes ,https://www.imdb.com//name/nm6312813/?ref_=ttfc_fc_cr120
 Ricardo Garfias ,https://www.imdb.com//name/nm1825126/?ref_=ttfc_fc_cr121
 Erwin Jaquez ,https://www.imdb.com//name/nm0418494/?ref_=ttfc_fc_cr122
Location Management 
 Patricia Cano ,https://www.imdb.com//name/nm1153567/?ref_=ttfc_fc_cr123
 Antonio Carrasco ,https://www.imdb.com//name/nm6154551/?ref_=ttfc_fc_cr124
 Vicente Gil ,https://www.imdb.com//name/nm4527887/?ref_=ttfc_fc_cr125
 Manuel López ,https://www.imdb.com//name/nm6154552/?ref_=ttfc_fc_cr126
 Horacio Sandoval ,https://www.imdb.com//name/nm2295216/?ref_=ttfc_fc_cr127
Music Department 
 Gabriela Cárdenas ,https://www.imdb.com//name/nm6154541/?ref_=ttfc_fc_cr128
 Chester Draven ,https://www.imdb.com//name/nm6774628/?ref_=ttfc_fc_cr129
 Alejandro Ferrer ,https://www.imdb.com//name/nm6774623/?ref_=ttfc_fc_cr130
 Annette Fradera ,https://www.imdb.com//name/nm0289512/?ref_=ttfc_fc_cr131
 Gino Galán ,https://www.imdb.com//name/nm6154540/?ref_=ttfc_fc_cr132
 Sara Herrera Maldonado ,https://www.imdb.com//name/nm6132275/?ref_=ttfc_fc_cr133
 Honicli ,https://www.imdb.com//name/nm1756528/?ref_=ttfc_fc_cr134
 Juan Manuel Ledezma ,https://www.imdb.com//name/nm4070578/?ref_=ttfc_fc_cr135
 Luis Ledezma ,https://www.imdb.com//name/nm6774620/?ref_=ttfc_fc_cr136
 Carlos Maldonado ,https://www.imdb.com//name/nm6154542/?ref_=ttfc_fc_cr137
 Rafael Merino ,https://www.imdb.com//name/nm6154539/?ref_=ttfc_fc_cr138
 Tenoch Ramos ,https://www.imdb.com//name/nm1670656/?ref_=ttfc_fc_cr139
 Marco Rentería ,https://www.imdb.com//name/nm6774619/?ref_=ttfc_fc_cr140
 José Luis Ruiz Tavera ,https://www.imdb.com//name/nm6774621/?ref_=ttfc_fc_cr141
Script and Continuity Department 
 Maury Carvajal ,https://www.imdb.com//name/nm1556882/?ref_=ttfc_fc_cr142
Transportation Department 
 Dionisio Acevedo ,https://www.imdb.com//name/nm6154630/?ref_=ttfc_fc_cr143
 César Barajas ,https://www.imdb.com//name/nm6154626/?ref_=ttfc_fc_cr144
 Mauricio Esquivia ,https://www.imdb.com//name/nm6154633/?ref_=ttfc_fc_cr145
 Gerardo Hernández ,https://www.imdb.com//name/nm1913456/?ref_=ttfc_fc_cr146
 Rodolfo Hernández ,https://www.imdb.com//name/nm6154627/?ref_=ttfc_fc_cr147
 Edgar 'Chivata' Lezama ,https://www.imdb.com//name/nm1914795/?ref_=ttfc_fc_cr148
 Eduardo Márquez ,https://www.imdb.com//name/nm6154628/?ref_=ttfc_fc_cr149
 Alfredo Perez ,https://www.imdb.com//name/nm5791612/?ref_=ttfc_fc_cr150
 Rafael Rodríguez ,https://www.imdb.com//name/nm5157994/?ref_=ttfc_fc_cr151
 Ricardo Romero ,https://www.imdb.com//name/nm3600701/?ref_=ttfc_fc_cr152
 Seferino Sampayo ,https://www.imdb.com//name/nm6154632/?ref_=ttfc_fc_cr153
 Hugo Valle ,https://www.imdb.com//name/nm5157470/?ref_=ttfc_fc_cr154
 Víctor Vega ,https://www.imdb.com//name/nm6154631/?ref_=ttfc_fc_cr155
 Carlos Zarzoza ,https://www.imdb.com//name/nm6154629/?ref_=ttfc_fc_cr156
Additional Crew 
 Ana Ballesteros ,https://www.imdb.com//name/nm1153540/?ref_=ttfc_fc_cr157
 Jose Manuel Ballesteros ,https://www.imdb.com//name/nm1147740/?ref_=ttfc_fc_cr158
 Cuauhtémoc Bravo ,https://www.imdb.com//name/nm2623026/?ref_=ttfc_fc_cr159
 Manuel Cercas ,https://www.imdb.com//name/nm6774710/?ref_=ttfc_fc_cr160
 Martha Fritz ,https://www.imdb.com//name/nm6774624/?ref_=ttfc_fc_cr161
 Daniel González ,https://www.imdb.com//name/nm6154621/?ref_=ttfc_fc_cr162
 Julián Jaquez ,https://www.imdb.com//name/nm6312848/?ref_=ttfc_fc_cr163
 Marie Kaigre ,https://www.imdb.com//name/nm6774650/?ref_=ttfc_fc_cr164
 Humberto López ,https://www.imdb.com//name/nm6154618/?ref_=ttfc_fc_cr165
 Sergio Guzmán López ,https://www.imdb.com//name/nm6154619/?ref_=ttfc_fc_cr166
 Silvano Martinez ,https://www.imdb.com//name/nm6132297/?ref_=ttfc_fc_cr167
 Andres Martinez-Rios ,https://www.imdb.com//name/nm2802427/?ref_=ttfc_fc_cr168
 Carlos Muñoz Portal ,https://www.imdb.com//name/nm2217967/?ref_=ttfc_fc_cr169
 José Omar ,https://www.imdb.com//name/nm6774712/?ref_=ttfc_fc_cr170
 Rebeca Pérez ,https://www.imdb.com//name/nm6774649/?ref_=ttfc_fc_cr171
 Paloma Rangel ,https://www.imdb.com//name/nm3730610/?ref_=ttfc_fc_cr172
 Roberto Reyna ,https://www.imdb.com//name/nm0721501/?ref_=ttfc_fc_cr173
 Marco Antonio Salgado ,https://www.imdb.com//name/nm3475786/?ref_=ttfc_fc_cr174
 Luis Salinas ,https://www.imdb.com//name/nm4715934/?ref_=ttfc_fc_cr175
 Nayeli Aguilar Tavira ,https://www.imdb.com//name/nm6154622/?ref_=ttfc_fc_cr176
 Eduardo Villalba ,https://www.imdb.com//name/nm6774711/?ref_=ttfc_fc_cr177
 Marina Viruete ,https://www.imdb.com//name/nm4687253/?ref_=ttfc_fc_cr178
Thanks 
 Jorge Aragón ,https://www.imdb.com//name/nm1938863/?ref_=ttfc_fc_cr179
 Lucía Carreras ,https://www.imdb.com//name/nm3669468/?ref_=ttfc_fc_cr180
 Ariel Gordon ,https://www.imdb.com//name/nm0329999/?ref_=ttfc_fc_cr181
 Everardo Gout ,https://www.imdb.com//name/nm0332740/?ref_=ttfc_fc_cr182
 Herminio Gutiérrez ,https://www.imdb.com//name/nm1885664/?ref_=ttfc_fc_cr183
 Omar Juárez Espino ,https://www.imdb.com//name/nm2754164/?ref_=ttfc_fc_cr184
 Jesús Magaña Vázquez ,https://www.imdb.com//name/nm1646023/?ref_=ttfc_fc_cr185
 Pablo Martínez de Velasco ,https://www.imdb.com//name/nm0554843/?ref_=ttfc_fc_cr186
 Isabel Menchaca ,https://www.imdb.com//name/nm3242600/?ref_=ttfc_fc_cr187
 Eamon O'Farrill ,https://www.imdb.com//name/nm1004781/?ref_=ttfc_fc_cr188
 Fabiola Peña ,https://www.imdb.com//name/nm2229836/?ref_=ttfc_fc_cr189
 Emilio Portes ,https://www.imdb.com//name/nm1758280/?ref_=ttfc_fc_cr190
 Raúl Prado ,https://www.imdb.com//name/nm0695059/?ref_=ttfc_fc_cr191
 Jorge E. Riveros ,https://www.imdb.com//name/nm0729505/?ref_=ttfc_fc_cr192
 Marco Antonio Salgado ,https://www.imdb.com//name/nm3475786/?ref_=ttfc_fc_cr193
 Erick Daniel Sanchez ,https://www.imdb.com//name/nm3902548/?ref_=ttfc_fc_cr194
 Juan Jose Saravia ,https://www.imdb.com//name/nm1455782/?ref_=ttfc_fc_cr195
 Andrés Sánchez ,https://www.imdb.com//name/nm3396315/?ref_=ttfc_fc_cr196
 Agustín Tapia ,https://www.imdb.com//name/nm1529994/?ref_=ttfc_fc_cr197
 Martin Thulin ,https://www.imdb.com//name/nm3124485/?ref_=ttfc_fc_cr198
 Pablo Valero ,https://www.imdb.com//name/nm2432748/?ref_=ttfc_fc_cr199
 Ariel Zeitoun ,https://www.imdb.com//name/nm0954437/?ref_=ttfc_fc_cr200
